question,predicted_label,score
The statement is:  <the city peabody host the latest in 2001>. Is it entailed or refuted by the table above?,Political,0.09179302304983139
The statement is:  <the llws reach round 3 when the city be in westport>. Is it entailed or refuted by the table above?,Telecommunications,0.10683498531579971
The statement is:  <the champion lincoln ll score 4th place in 2003>. Is it entailed or refuted by the table above?,Political,0.11922868341207504
The statement is:  <the earliest worcester be in the championship be 2009>. Is it entailed or refuted by the table above?,Science and Research,0.06890881806612015
The statement is:  <no rank have point larger than 282.5>. Is it entailed or refuted by the table above?,Telecommunications,0.07013145834207535
The statement is:  <no rank have point larger than 259.4>. Is it entailed or refuted by the table above?,Telecommunications,0.07125243544578552
"The statement is:  <the city britt , elk lake , foleyet , mattawa , moosonee , and temagami be all be in the class lp>. Is it entailed or refuted by the table above?",Education,0.09344318509101868
The statement is:  <cblj - fm have 50000 watt of power>. Is it entailed or refuted by the table above?,Telecommunications,0.13130147755146027
The statement is:  <elliot lake be class a and have cbec - fm>. Is it entailed or refuted by the table above?,Education,0.10543983429670334
The statement is:  <elk lake have query as its recnet>. Is it entailed or refuted by the table above?,Sports and Recreation,0.15324802696704865
The statement is:  <temagami have the 1340 am frequency>. Is it entailed or refuted by the table above?,Telecommunications,0.12173881381750107
The statement is:  <wawa / timmins / north bay / little current be city of licence that have b class>. Is it entailed or refuted by the table above?,Legal,0.1413125991821289
The statement is:  <cblj be the identifier that have 40 watt>. Is it entailed or refuted by the table above?,Telecommunications,0.08754868805408478
The statement is:  <query recnet have 8 watt of power and timmins as the city license>. Is it entailed or refuted by the table above?,Legal,0.13529402017593384
"The statement is:  <1340 am frequency have temagami as the city of license , in class a>. Is it entailed or refuted by the table above?",Telecommunications,0.08522387593984604
The statement is:  <1340 am frequency with 780 watt of power have temagami as the city of license>. Is it entailed or refuted by the table above?,Telecommunications,0.1079983338713646
The statement is:  <round 3 be run at calder park>. Is it entailed or refuted by the table above?,Political,0.11951322853565216
The statement is:  <the sandown circuit be find in victoria>. Is it entailed or refuted by the table above?,Travel and Hospitality,0.08877363055944443
The statement is:  <round 1 be run in victoria>. Is it entailed or refuted by the table above?,Political,0.11948978900909424
The statement is:  <you can find oran park in victoria state>. Is it entailed or refuted by the table above?,Environmental,0.14071202278137207
The statement is:  <round 1 be run in queensland>. Is it entailed or refuted by the table above?,Political,0.19220103323459625
The statement is:  <jack nicklaus of the united state be in 2 place with a combined score of 282>. Is it entailed or refuted by the table above?,Political,0.1537826806306839
The statement is:  <dow finsterwald 's (united states) combine score be 283>. Is it entailed or refuted by the table above?,Financial and Economic,0.09651387482881546
The statement is:  <the disposable usd growth be 116 for rank 26>. Is it entailed or refuted by the table above?,Financial and Economic,0.06907100230455399
The statement is:  <norway 's compulsory deduction be 29.3%>. Is it entailed or refuted by the table above?,Political,0.07443595677614212
"The statement is:  <estonia have the lowest disposable usd in 2011 , come in at 13731.0>. Is it entailed or refuted by the table above?",Environmental,0.09461791068315506
"The statement is:  <with rank 26 , poland have a compulsory deduction of 18.9%>. Is it entailed or refuted by the table above?",Political,0.3930152356624603
"The statement is:  <norway , at number 23 , have a compulsory deduction of 29.8%>. Is it entailed or refuted by the table above?",Telecommunications,0.06333532929420471
