question,answer
"in 2016 season, how many rushes did charles sims finish for 149 yards?",51.0
"how many games did schwartz, the manager of rot-weiß erfurt between 11 april 2003 and 30 june 2003, won out of 10 matches?",1.0
"in total, how many rushing yards did craig finish during his eleven nfl seasons?",8189.0
"which had a higher proportion of admittances under the family sponsorship program,women or men?",men
list african countries of origin that have more than half of the male immigrants admitted as a principal applicant under the economic program.,"<cameroon>, <cote d'ivoire>, <senegal>"
which population has more women aged 25 to 59 who were lone parents? black immigrants or the rest of the canadian population?,black population
how many percent of black immigrant women aged 25 to 59 in 2016 were lone parents?,29.2
"among black immigrant women aged 25 to 59 in 2016, how many percent of other immigrant women were lone parents?",9.8
which region of origion of the immigrants has the highest proportion of lone mothers among black immigrant women aged 25 to 59 in 2016?,caribbean and latin america
which region of birth has fewer proportion of black male immigrants with a postsecondary diploma or a university diploma? black male immigrants from africa or from caribbean and latin america?,caribbean and latin america
which region of birth has higher proportion of black female immigrants with a postsecondary diploma or a university diploma? black female immigrants from africa or from caribbean and latin america?,caribbean and latin america
"among black immigrant women, which region of birth has a higher the employment rate? women born in the caribbean or in latin america tor women born in africa?",caribbean and latin america
which top 4 countries of birth had the lowest the lowest employment rates?,"<democratic republic of the congo>, <nigeria>, <somalia>, <sudan>"
which region of ancestry has a higher uunemployment? women whose region of ancestry was africa or those in caribbean and latin america?,women
which sector has the most black female workers?,health care and social assistance
which sector has the most black female workers?,11.7
"among immigrant women, how many percent of black immigrant women worked in the health care and social assistance sector was higher than other immigrant women?",17.6
what was the time of david reynolds in practice 1?,1:12.8697
how many league goals did lee hughes score for notts county in 2009.,30.0
how many rushing yards did shaun alexander get in 2004?,1696.0
which club did piiroja play for in 2001?,flora
"in 2015, how many percent of black children and other children, respectively, are affected by low-income status (according to the market basket measure [mbm])?","<27.2>, <14.4>"
how many percent of black children from second-generation families had low-income status (mbm) in 2015?,24.9
how many percentage points of the before-tax low-income rate for black children born to immigrant families are decreased from 2000 to 2015?,16.1
"in 2015, how many times of the low-income rate was higher among black children compared with other children?",1.888889
list countries that had the low-income rates (mbm) above 30% among black children aged 0 to 14 in immigrant families in 2015.,"<ethiopia>, <saint vincent and the grenadines>, <grenada>, <saint lucia>, <somalia>, <eritrea>, <sudan>, <south sudan>"
how many percent of children from sudanese immigrant families is affected by low-income status (mbm)?,53.1
how many police offcicers are in canada in 2018?,68562.0
how many police officers are decreased from 2017 to 2018 ?,-463
what is the rate of police strength in 2018?,185.0
how many percent of the rate of police strength has declined from 2017 to 2018?,2.1
"how many full-time individuals are employed on may 15, 2018, in addition to sworn officers?",31050.0
how many full-time equivalent personnel in these roles are increased from 2017 to 2018?,1998
what is the growth rate of the number of full-time equivalent personnel in these roles from 2017 to 2018?,0.064348
"excluding officers involved in rcmp corporate duties, what is the provincial and territorial rate of police strength in 2018?",182
how many police officers were employed by stand-alone municipal police services?,38459
how many percent of all police officers in canada were employed by rcmp in contract policing?,0.191024
how many rushing yards did darren mcfadden get in 2008?,499.0
