question,answer
"which one finds the prevalence of immigrant males to be current smokers is lower, the chms or the cchs?",chms
what is the percentage of 2-year-old boys had immunization coverage for tetaunus?,74.9
what percentage did the total amount of donations made in 2004 come from primary donors?,0.620189
"in 1941, at age 65, how many years could women expect to live ?",14.1
what is the percentage of the youth who participated in rj in nova scotia did not have any further contact as youth with rj in nova scotia?,84.0
what was the proportion of immigrant women that were young female non-stem degree holders?,25.0
"similar to previous years, what was the rate of the most common criminal offences committed by youth in 2019 in level 1 assault?",514.0
what was the prevalence of disability in yukon?,14.4
what is the initial earnings gap of ce immigrants in 1991 cohort when the sociodemographic control variables are added for model 2?,-0.549
how many receiving yards did lamark brown get in 2009?,215.0
"in 2014, what is the benefit rate that witb taxpayers would give for every dollar earned above $3,000?",25.0
what is the range of annual industry-level variation that granular shocks can explain?,"<0.13>, <0.37>"
how many appearances did emanuel molina make for atletico tucuman and then moved to the argentine primera division in the 2016 season?,32.0
which characteristics of men cohort were slightly underrepresented among all the characteristics?,"<not married or common-law>, <urban>, <moved>"
how many cdsa violations police reported in 2013?,109057.0
"in 2012, how many interception yards did chris harris jr. have?",144.0
"what were the percentages of physical assaults (levels 1, 2, and 3) classified as unfounded in 2016 and 2017 respectively?","<11.5>, <9.3>"
what was the median debt-to-asset ratio for families whose major income earner was aged 35 to 44 in 2012?,0.39
"among all degree level, which degree holders did the worse job?",bachelor's degree
what was the proportion of homelessness support sector workers that reported studying social and behavioural sciences and law?,22.7
"among the first nations household population, what was the percentage of the probability of living to age 75 for males in 2011?",53.2
"when educational attainment and income adequacy were taken into account, what was the hazard ratio for dying from avoidable causes for first nations cohort women?",2.08
what the number of high-school educated by 2010?,0.031
what is the percentage of increases in the csi were also recorded in edmonton in 2015?,16.0
"which type of adults had lower levels of education and income, non-aboriginal or first nations?",first nations
what was the percentage of all businesses in canada reported no change in revenues?,25.5
what the percent of senior caregivers reported that they had received support for their caregiving duties from at least one of the nine sources?,67.7
"in 2008, what was the u.s. total million dollars?",404773.0
"on snapshot day, which provinces or territories has the highest proportion of women residents with mental health issues?",newfoundland and labrador
"accounting for inflation, how many percent did total expenditures on policing in canada rise in 2016?",1.8
how many percentage point of people in nova scotia used radio?,55.0
what types of medication were women treated for hypertension less likely to report using than treated men?,"<agent acting on renin-angiotension system>, <beta-blocker>"
how many times was the victimization rate of people who stated that they used drugs during the month preceding the survey than non-users?,4.129032
"what is the percentage of older boys rated their general health as ""very good"" or ""excellent""?",71.5
what percentage of people of working age (15 to 64 years) reported having a disability?,10.1
what is the percentage of hurricanes risk in prince edward island in 2014?,56.0
"over the period, what was the proportion of economic principal applicants who had middle-level earnings ($20,000 to $50,000) in 2018?",59.4
how many percent do dod account of all federal r&d obligations to industrial performers?,0.730168
how much did parental education now accounted for of the overall gap in 1999?,0.408557
how many passing yards did warren smith get in 2015?,1816.0
"with $4.5 billion reported in 2015/2016, what is the percentage of the rcmp accounted for total police operating expenditures in the country?",0.315741
what percentage of people of all territories who reported not having used drugs in the month preceding the survey?,134.0
what is the percentage of decedents who were hospitalized in their last year of life received inpatient pc consultation in ontario?,16.9
"using the 10 employee threshold with the 2014 brdis data would increase the u.s. innovation rates for the total of all industries, how many percent for product or process innovations?",16.8
"sexual jokes were the most common unwanted sexualized behaviour personally experienced by students in the postsecondary setting, how many percent of women?",27.2
which club did zlicic play for in 2016-17?,vojvodina
"what percentages of men and women, respectively, were not secondary school graduates?","<60>, <56>"
by what percentage would families who did not own their principal residence miss a non-mortgage payment?,0.14
which club did egzon binaku play for in 2015?,bk hacken
"in 2013, what is the rate of the nunavut had police-reported drug offence?",1051.0
