question,sparql
"which one finds the prevalence of immigrant males to be current smokers is lower, the chms or the cchs?","SELECT?value WHERE { wd:Q41468542?s.?s ps:P21542?x filter(contains(?x,'44.0')).?s pq:P1013?value}}}49.?s pq:P1013?value}}}49}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}"
what is the percentage of 2-year-old boys had immunization coverage for tetaunus?,"SELECT?value WHERE { wd:Q95692 p:P2573?s.?s ps:P2573?x filter(contains(?x,'1. ofe+08')).?s pq:P459?value}set?value}set58?value}set}set?value}set}set?value}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set}set"
what percentage did the total amount of donations made in 2004 come from primary donors?,"SELECT?obj WHERE { wd:Q417784 p:P3362?s.?s filter(contains(?x,'14?obj.?s pq:P459 wd:Q745221 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70"
"in 1941, at age 65, how many years could women expect to live ?",SELECT?obj WHERE { wd:Q412690 p:P734?s.?s ps:P1198?obj.?s pq:P1480 wd:Q5727902 }  BY }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }
what is the percentage of the youth who participated in rj in nova scotia did not have any further contact as youth with rj in nova scotia?,SELECT?obj WHERE { wd:Q414023 wd:Q18446?s.?s ps:P742?obj.?s pq:P518 wd:Q275205 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  }
what was the proportion of immigrant women that were young female non-stem degree holders?,SELECT?value WHERE { wd:Q4138 p:P172?s.?s ps:P172 wd:Q345504.?s pq:P54?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
"similar to previous years, what was the rate of the most common criminal offences committed by youth in 2019 in level 1 assault?","SELECT?obj WHERE { wd:Q13107 p:P2124?s.?s ps:P2124?obj.?s pq:P585?x filter(contains(YEAR(?x),'2013')) }  }  wd:Q138 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }  wdt:P452 }  }"
what was the prevalence of disability in yukon?,SELECT (COUNT(?obj) AS?value ) { wd:Q2146 wdt:P1193?obj } 996 }  wd:Q4605 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 } 456 }
what is the initial earnings gap of ce immigrants in 1991 cohort when the sociodemographic control variables are added for model 2?,"SELECT?obj WHERE { wd:Q41345423926?s.?s ps:P2134?obj.?s pq:P1545?x filter(contains(?x,'1')) } e  } e  } e   } e   } e    } e                                                                                 "
how many receiving yards did lamark brown get in 2009?,"SELECT?obj WHERE { wd:Q211906 p:P54?s.?s ps:P54?obj.?s pq:P585?x filter(contains(YEAR(?x),'2009')) }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  } "
