question,answer,table,Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities
What were the achievements of Martino Finotto during the Jolly Club?,"Martino Finotto finished 3rd in 1975, 5th in 1977, and 4th in 1978 with BMW 3.0 CSL under the Jolly Club.",[Wikipedia page title:Martino Finotto; Wikipedia section title:Career highlights; ] [TAB] | Season | Series | Position | Team | Car | [SEP] | 1972 | Campionato Italiano di Turismo | 8th | Jolly Club | Ford Escort RS 1600 | [SEP] | - | Coppa CASI di classe 2000cc | 1st | Jolly Club | Ford Escort RS 1600 | [SEP] | 1973 | Campionato Italiano di Turismo | 7th | Jolly Club | Ford Escort RS 1600 | [SEP] | - | Coppa CASI di classe 2000cc | 1st | Jolly Club | Ford Escort RS 1600 | [SEP] | 1974 | European Touring Car Championship | 7th | Jolly Club | BMW 3.0 CSL | [SEP] | 1975 | European Touring Car Championship | 3rd | Castrol Team Zakspeed Jolly Club | Ford Escort RS 1600 | [SEP] | 1976 | European Touring Car Championship | 17th | Luigi Racing | BMW 3.0 CSL | [SEP] | 1977 | Coppa Intereuropa | 1st | - | Porsche 935 | [SEP] | 1977 | European Touring Car Championship | 5th | Luigi Racing | BMW 3.0 CSL | [SEP] | 1978 | European Touring Car Championship | 4th | Jolly Club | BMW 3.0 CSL | [SEP] | 1979 | European Touring Car Championship | 1st | Jolly Club | BMW 3.0 CSL | [SEP] | 1980 | World Challenge for Endurance Drivers | 33rd | Jolly Club | Lancia Beta Montecarlo Turbo | [SEP] | 1981 | World Endurance Championship of Drivers | 87th | Jolly Club Carma FF | Lancia Beta Montecarlo Turbo Ferrari 308 GTB | [SEP] | 1983 | European Endurance Championship | 44th | Jolly Club | Alba-Giannini AR2 | [SEP] | - | World Endurance Championship of Drivers | 63rd | Jolly Club | Osella-Giannini PA9 Alba-Giannini AR2 | [SEP] | 1984 | World Endurance Championship of Drivers | 53rd | Jolly Club | Alba-Giannini AR2 | [SEP] | 1985 | FIA World Endurance Championship | 42nd | Carma FF | Alba-Carma AR2 Alba-Carma AR6 | [SEP] | 1986 | IMSA Camel GTP Lights Championship | 39th | Carma FF Gaston Andrey Racing | Alba-Ferrari AR6 | [SEP] | 1987 | IMSA Camel GTP Lights Championship | 24th | Gaston Andrey Racing | Alba-Ferrari AR6 | [SEP] | 1988 | IMSA Camel GTP Lights Championship | 6th | Gaston Andrey Racing | Alba-Ferrari AR6 Tiga-Ferrari GT286 | [SEP] | 1989 | IMSA Camel GTP Lights Championship | 11th | Bieri Racing | Tiga-Ferrari GT286 Spice-Ferrari SE89P | [SEP] | 1990 | IMSA Camel GTP Lights Championship | 2nd | Bieri Racing | Spice-Ferrari SE88P Spice-Ferrari SE90P Alba-Ferrari AR6 | [SEP] | 1991 | IMSA Camel GTP Lights Championship | 12th | Bieri Racing | Spice-Ferrari SE89P Spice-Ferrari SE90 |,Sports,0.6485,Culture,0.6117,Art,0.4265,"1978, 1977, the Jolly Club, 3rd, 4th, Martino, BMW 3.0 CSL, Martino Finotto, 5th, 1975"
"Which of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards, and when were they nominated?",Two of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards: Shines in the Dark in 2010 and Follow Your Heart in 2013.,[Wikipedia page title:Smacksoft; Wikipedia section title:Awards and nominations; ] [TAB] | Year | Award | Category | Nominated work | Result | Ref. | [SEP] | 2010 | Korean Music Awards | Best Modern Rock Album | Shines in the Dark | Nominated | - | [SEP] | 2013 | Korean Music Awards | Best Modern Rock Album | Follow Your Heart | Nominated | - |,Culture,0.7834,Media and Entertainment,0.7136,Art,0.3559,"2010, the Korean Music Awards: Shines, Two, the Korean Music Awards, Smacksoft, 2013"
What were Denis Savard's results in 1987-88 and 1985-86?,"Denis Savard's point total of 131 came in 1987–88, and goal total of 47 came in 1985–86.",[Wikipedia page title:Denis Savard; Wikipedia section title:Career statistics; ] [TAB] | - | - | - | Regular season | Regular season | Regular season | Regular season | Regular season | Playoffs | Playoffs | Playoffs | Playoffs | Playoffs | - | - | [SEP] | Season | Team | League | - | GP | G | A | Pts | PIM | - | GP | G | A | Pts | PIM | [SEP] | 1977–78 | Montreal Juniors | QMJHL | - | 72 | 37 | 79 | 116 | 22 | - | 13 | 3 | 17 | 20 | 0 | [SEP] | 1978–79 | Montreal Juniors | QMJHL | - | 70 | 46 | 112 | 158 | 88 | - | 11 | 5 | 6 | 11 | 46 | [SEP] | 1979–80 | Montreal Juniors | QMJHL | - | 72 | 63 | 118 | 181 | 93 | - | 10 | 7 | 16 | 23 | 8 | [SEP] | 1980–81 | Chicago Blackhawks | NHL | - | 76 | 28 | 47 | 75 | 47 | - | 3 | 0 | 0 | 0 | 0 | [SEP] | 1981–82 | Chicago Blackhawks | NHL | - | 80 | 32 | 87 | 119 | 82 | - | 15 | 11 | 7 | 18 | 52 | [SEP] | 1982–83 | Chicago Blackhawks | NHL | - | 78 | 35 | 86 | 121 | 99 | - | 13 | 8 | 9 | 17 | 22 | [SEP] | 1983–84 | Chicago Blackhawks | NHL | - | 75 | 37 | 57 | 94 | 71 | - | 5 | 1 | 3 | 4 | 9 | [SEP] | 1984–85 | Chicago Blackhawks | NHL | - | 79 | 38 | 67 | 105 | 56 | - | 15 | 9 | 20 | 29 | 20 | [SEP] | 1985–86 | Chicago Blackhawks | NHL | - | 80 | 47 | 69 | 116 | 111 | - | 3 | 4 | 1 | 5 | 6 | [SEP] | 1986–87 | Chicago Blackhawks | NHL | - | 70 | 40 | 50 | 90 | 108 | - | 4 | 1 | 0 | 1 | 12 | [SEP] | 1987–88 | Chicago Blackhawks | NHL | - | 80 | 44 | 87 | 131 | 95 | - | 5 | 4 | 3 | 7 | 17 | [SEP] | 1988–89 | Chicago Blackhawks | NHL | - | 58 | 23 | 59 | 82 | 110 | - | 16 | 8 | 11 | 19 | 10 | [SEP] | 1989–90 | Chicago Blackhawks | NHL | - | 60 | 23 | 57 | 80 | 56 | - | 20 | 7 | 15 | 22 | 41 | [SEP] | 1990–91 | Montreal Canadiens | NHL | - | 70 | 28 | 31 | 59 | 52 | - | 13 | 2 | 11 | 13 | 35 | [SEP] | 1991–92 | Montreal Canadiens | NHL | - | 77 | 28 | 42 | 70 | 73 | - | 11 | 3 | 9 | 12 | 8 | [SEP] | 1992–93 | Montreal Canadiens | NHL | - | 63 | 16 | 34 | 50 | 90 | - | 14 | 0 | 5 | 5 | 4 | [SEP] | 1993–94 | Tampa Bay Lightning | NHL | - | 74 | 18 | 28 | 46 | 106 | - | — | — | — | — | — | [SEP] | 1994–95 | Tampa Bay Lightning | NHL | - | 31 | 6 | 11 | 17 | 10 | - | — | — | — | — | — | [SEP] | 1994–95 | Chicago Blackhawks | NHL | - | 12 | 4 | 4 | 8 | 8 | - | 16 | 7 | 11 | 18 | 10 | [SEP] | 1995–96 | Chicago Blackhawks | NHL | - | 69 | 13 | 35 | 48 | 102 | - | 10 | 1 | 2 | 3 | 8 | [SEP] | 1996–97 | Chicago Blackhawks | NHL | - | 64 | 9 | 18 | 27 | 60 | - | 6 | 0 | 2 | 2 | 2 | [SEP] | NHL totals | NHL totals | NHL totals | - | 1196 | 473 | 865 | 1338 | 1336 | - | 169 | 66 | 109 | 175 | 256 |,Culture,0.8769,Sports,0.73,Business and Economic,0.6122,"1985–86, 131, Denis Savard's, 1985-86, 1987-88, 1987–88"
What roles did Akshat Chopra do after the year 2005?,Akshat Chopra played the role of Vashisht in the 2008 film Thoda Pyaar Thoda Magic and dubbed the voice of Saleem in Slumdog Millionaire.,[Wikipedia page title:Akshat Chopra; Wikipedia section title:Films; ] [TAB] | Year | Movie | Role | Language | Notes | [SEP] | 2009 | Slumdog Millionaire | Salim (Dubbing) | Hindi | - | [SEP] | 2008 | Thoda Pyaar Thoda Magic | Vashisht | Hindi | - | [SEP] | 2005 | One Night in Bhopal (BBC) | As Akshit | English | - |,Media and Entertainment,0.9347,Culture,0.6296,Warfare and Conflict,0.2403,"Akshat Chopra, Saleem in Slumdog Millionaire, Thoda Pyaar Thoda Magic, Vashisht, the year 2005, 2008"
What were the achievements of Mahiedine Mekhissi-Benabbad during the year 2004?,"Mekhissi-Benabbad made his first appearances as a junior athlete in 2004, running at the 2004 World Cross Country Championships, where he was 61st in the junior race, and participated in the 2004 World Junior Championships in the 3000 m steeplechase.","[Wikipedia page title:Mahiedine Mekhissi-Benabbad; Wikipedia section title:Results in international competitions; ] [TAB] | Year | Competition | Venue | Position | Event | Notes | [SEP] | Representing France | Representing France | Representing France | Representing France | Representing France | Representing France | [SEP] | 2004 | World Cross Country Championships | Brussels, Belgium | 61st | Junior race | 27:08 | [SEP] | 2004 | World Junior Championships | Grosseto, Italy | 29th (h) | 3000 m steeple | 9:09.53 | [SEP] | 2005 | European U23 Championships | Erfurt, Germany | 13th (h) | 3000 m steeple | 8:49.95 | [SEP] | 2006 | European Cup | Málaga, Spain | 8th | 1500 m | - | [SEP] | 2006 | IAAF World Cup | Athens, Greece | 8th | 1500 m | 3:55.89 | [SEP] | 2007 | European U23 Championships | Debrecen, Hungary | 1st | 3000 m steeple | 8:33.91 | [SEP] | 2007 | World Championships | Osaka, Japan | 22nd (h) | 3000 m steeple | 8:33.11 | [SEP] | 2008 | Olympic Games | Beijing, China | 2nd | 3000 m steeple | 8:10.49 | [SEP] | 2008 | DécaNation | Paris, France | 1st | 3000 m steeple | 8:53.71 | [SEP] | 2009 | World Championships | Berlin, Germany | – (h) | 3000 m steeple | DNF | [SEP] | 2010 | World Indoor Championships | Doha, Qatar | 8th | 1500 m | 3:45.22 | [SEP] | 2010 | European Championships | Barcelona, Spain | 1st | 3000 m steeple | 8:07.87 | [SEP] | 2010 | IAAF Continental Cup | Split, Croatia | 3rd | 3000 m steeple | 8:09.96 | [SEP] | 2010 | DécaNation | Annecy, France | 1st | 3000 m steeple | 8:27.27 | [SEP] | 2011 | World Championships | Daegu, South Korea | 3rd | 3000 m steeple | 8:16.09 | [SEP] | 2012 | European Championships | Helsinki, Finland | 1st | 3000 m steeple | 8:33.23 | [SEP] | 2012 | Olympic Games | London, England | 2nd | 3000 m steeple | 8:19.08 | [SEP] | 2013 | European Indoor Championships | Gothenburg, Sweden | 1st | 1500 m | 3:37.17 | [SEP] | 2013 | World Championships | Moscow, Russia | 3rd | 3000 m steeple | 8:07.86 | [SEP] | 2014 | European Championships | Zürich, Switzerland | 1st | 1500 m | 3:45.60 | [SEP] | 2014 | European Championships | Zürich, Switzerland | DQ | 3000 m steeple | 8:33.23 | [SEP] | 2016 | European Championships | Amsterdam, Netherlands | 1st | 3000 m steeple | 8:25.63 | [SEP] | 2016 | Olympic Games | Rio de Janeiro, Brazil | 3rd | 3000 m steeple | 8:11.52 | [SEP] | 2017 | World Championships | London, United Kingdom | 30th (h) | 1500 m | 3:46.17 | [SEP] | 2017 | World Championships | London, United Kingdom | 4th | 3000 m steeple | 8:15.80 | [SEP] | 2017 | DécaNation | Angers, France | 1st | 2000 m | 5:22.85 | [SEP] | 2018 | European Championships | Berlin, Germany | 1st | 3000 m steeple | 8:31.66 |",Sports,0.9655,Culture,0.348,Society,0.1802,"61st, the year 2004, 3000, 2004, Mekhissi-Benabbad, first, Mahiedine Mekhissi-Benabbad, World Junior Championships"
What happened to the total appearances of Tsuneyasu Miyamoto in 2005 after 2004?,"After 25 total appearances for Gamba Osaka in the 2004 J1 League season, Miyamoto appeared 36 times in the 2005 season.",[Wikipedia page title:Tsuneyasu Miyamoto; Wikipedia section title:Club statistics; ] [TAB] | Club performance | Club performance | Club performance | League | League | Cup | Cup | League Cup | League Cup | Continental | Continental | Total | Total | [SEP] | Season | Club | League | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals | [SEP] | Japan | Japan | Japan | League | League | Emperor's Cup | Emperor's Cup | League Cup | League Cup | Asia | Asia | Total | Total | [SEP] | 1995 | Gamba Osaka | J1 League | 11 | 0 | 4 | 0 | – | – | 15 | 0 | - | - | [SEP] | 1996 | Gamba Osaka | J1 League | 13 | 0 | 2 | 0 | 7 | 0 | – | – | 22 | 0 | [SEP] | 1997 | Gamba Osaka | J1 League | 26 | 1 | 3 | 0 | 4 | 0 | – | – | 33 | 1 | [SEP] | 1998 | Gamba Osaka | J1 League | 32 | 0 | 1 | 0 | 4 | 0 | – | – | 37 | 0 | [SEP] | 1999 | Gamba Osaka | J1 League | 30 | 0 | 2 | 0 | 2 | 0 | – | – | 34 | 0 | [SEP] | 2000 | Gamba Osaka | J1 League | 29 | 0 | 0 | 0 | 4 | 0 | – | – | 33 | 0 | [SEP] | 2001 | Gamba Osaka | J1 League | 24 | 0 | 3 | 0 | 2 | 0 | – | – | 29 | 0 | [SEP] | 2002 | Gamba Osaka | J1 League | 20 | 1 | 2 | 0 | 2 | 0 | – | – | 24 | 1 | [SEP] | 2003 | Gamba Osaka | J1 League | 26 | 1 | 2 | 0 | 5 | 1 | – | – | 33 | 2 | [SEP] | 2004 | Gamba Osaka | J1 League | 24 | 0 | 1 | 0 | 0 | 0 | – | – | 25 | 0 | [SEP] | 2005 | Gamba Osaka | J1 League | 30 | 3 | 2 | 0 | 4 | 0 | – | – | 36 | 3 | [SEP] | 2006 | Gamba Osaka | J1 League | 30 | 1 | 5 | 0 | 0 | 0 | 5 | 1 | 40 | 2 | [SEP] | Austria | Austria | Austria | League | League | Austrian Cup | Austrian Cup | League Cup | League Cup | Europe | Europe | Total | Total | [SEP] | 2006/07 | Red Bull Salzburg | Bundesliga | 9 | 0 | 1 | 0 | – | – | 0 | 0 | 10 | 0 | [SEP] | 2007/08 | Red Bull Salzburg | Bundesliga | 12 | 0 | 0 | 0 | – | – | 3 | 0 | 15 | 0 | [SEP] | 2008/09 | Red Bull Salzburg | Bundesliga | 0 | 0 | 2 | 0 | – | – | 0 | 0 | 2 | 0 | [SEP] | Japan | Japan | Japan | League | League | Emperor's Cup | Emperor's Cup | League Cup | League Cup | Asia | Asia | Total | Total | [SEP] | 2009 | Vissel Kobe | J1 League | 32 | 1 | 2 | 0 | 5 | 0 | – | – | 39 | 1 | [SEP] | 2010 | Vissel Kobe | J1 League | 6 | 0 | 2 | 0 | 4 | 0 | – | – | 12 | 0 | [SEP] | 2011 | Vissel Kobe | J1 League | 4 | 0 | 1 | 0 | 0 | 0 | – | – | 5 | 0 | [SEP] | Total | Japan | Japan | 337 | 8 | 32 | 0 | 43 | 1 | 5 | 1 | 417 | 10 | [SEP] | Total | Austria | Austria | 21 | 0 | 3 | 0 | – | – | 3 | 0 | 27 | 0 | [SEP] | Career total | Career total | Career total | 358 | 8 | 35 | 0 | 43 | 1 | 8 | 1 | 444 | 10 |,Sports,0.8906,Culture,0.7569,Art,0.2778,"2005, Miyamoto, Gamba Osaka, 2004, Tsuneyasu Miyamoto, the 2005 season"
What awards did Bramanyto win with Brownies and when was that?,"At the 2005 Indonesian Film Festival, Bramantyo won a Award for Best Director with Brownies.","[Wikipedia page title:Brownies (film); Wikipedia section title:Awards; ] [TAB] | Award | Year | Category | Recipient | Result | [SEP] | Indonesian Film Festival | 2005 | Best Film | - | Nominated | [SEP] | Indonesian Film Festival | 2005 | Best Director | Hanung Bramantyo | Won | [SEP] | Indonesian Film Festival | 2005 | Best Screenplay | Hanung Bramantyo, Salman Aristo, Eric Sasono | Nominated | [SEP] | Indonesian Film Festival | 2005 | Best Leading Actor | Bucek Depp, Arie K Untung | Nominated | [SEP] | Indonesian Film Festival | 2005 | Best Leading Actress | Marcella Zalianty | Won | [SEP] | Indonesian Film Festival | 2005 | Best Supporting Actress | Elmayana Sabrenia | Nominated | [SEP] | Indonesian Film Festival | 2005 | Best Cinematography | Tommy Jepang | Nominated | [SEP] | Indonesian Film Festival | 2005 | Best Artistic Direction | Eros Eflin | Nominated | [SEP] | Indonesian Film Festival | 2005 | Best Editing | Cesa David Luckmansyah | Nominated | [SEP] | Indonesian Film Festival | 2005 | Best Musical Direction | Dewa Budjana | Nominated | [SEP] | Indonesian Film Festival | 2005 | Best Sound Arrangement | Siti Asifa Nasution | Won |",Media and Entertainment,0.7775,Culture,0.7663,Society,0.3047,"Bramanyto, the 2005 Indonesian Film Festival, Award for Best, Brownies"
"Who were the candidates in the 1968 U.S. presidential election in West Virginia, and by what percentage of the popular vote did the leader win?","West Virginia was won by the Democratic candidate, Hubert Humphrey, with 49.60% of the popular vote, against the Republican candidate, Richard Nixon, with 40.78% of the popular vote.","[Wikipedia page title:1968 United States presidential election in West Virginia; Wikipedia section title:Results; ] [TAB] | Party | Party | Candidate | Votes | % | [SEP] | - | Democratic | Hubert Humphrey | 374,091 | 49.60% | [SEP] | - | Republican | Richard Nixon | 307,555 | 40.78% | [SEP] | - | American Independent | George Wallace | 72,560 | 9.62% | [SEP] | Total votes | Total votes | Total votes | 754,206 | 100.00% |",Political,0.9611,Culture,0.5079,Society,0.2937,"Richard Nixon, U.S., Republican, 40.78%, 49.60%, Hubert Humphrey, West Virginia, 1968, Democratic"
Which films did Shayne appear in between 1934-1961?,Shayne appeared as Yoelson in The Jolson Story (1946) and Jolson Sings Again (1949) and in many films between 1934-61.,"[Wikipedia page title:Tamara Shayne; Wikipedia section title:Filmography; ] [TAB] | Year | Title | Role | Notes | [SEP] | 1934 | The Captain Hates the Sea | General's Wife | Uncredited | [SEP] | 1935 | George White's 1935 Scandals | Russian Girl - Old Southern Custom | Uncredited | [SEP] | 1939 | Ninotchka | Anna - Moscow Roommate | Uncredited | [SEP] | 1942 | Somewhere I'll Find You | Mama Lugovska | Uncredited | [SEP] | 1943 | Mission to Moscow | Russian Nurse | Uncredited | [SEP] | 1944 | Song of Russia | Mme. Orlova | - | [SEP] | 1946 | The Jolson Story | Mrs. Yoelson | - | [SEP] | 1947 | It Happened in Brooklyn | Mrs. Kardos | - | [SEP] | 1947 | Northwest Outpost | Olga Natalia's Maid | - | [SEP] | 1947 | Pirates of Monterey | Filomena | - | [SEP] | 1948 | Walk a Crooked Mile | Mrs. Ecko, Landlady | Uncredited | [SEP] | 1948 | The Snake Pit | Ward 33 Inmate | Uncredited | [SEP] | 1949 | Jolson Sings Again | Moma Yoelson | - | [SEP] | 1949 | Black Magic | Maria Balsamo | - | [SEP] | 1949 | Thieves' Highway | Parthena Garcos | - | [SEP] | 1949 | The Red Danube | Helena Nagard | - | [SEP] | 1951 | I Can Get It for You Wholesale | Mrs. Cooper | Uncredited | [SEP] | 1953 | Tonight We Sing | Customer | Uncredited | [SEP] | 1955 | Mr. Arkadin | Woman in Apartment | - | [SEP] | 1956 | Anastasia | Zenia | Uncredited | [SEP] | 1961 | Romanoff and Juliet | Evdokia Romanoff | (final film role) |",Culture,0.6509,Media and Entertainment,0.5227,Art,0.3065,"between 1934-1961, 1949, Jolson Sings Again, The Jolson Story, between 1934-61, Shayne, Yoelson, 1946"
How many votes did democrats Brenda Jones and Tliab receive and who finished second?,"Tlaib finished second to Democrat Brenda Jones, who received 32,727 votes (37.7% of the total) to Tlaib's 31,084 (35.9%).","[Wikipedia page title:Rashida Tlaib; Wikipedia section title:Electoral history; ] [TAB] | Party | Party | Candidate | Votes | % | [SEP] | - | Democratic | Brenda Jones | 32,727 | 37.7 | [SEP] | - | Democratic | Rashida Tlaib | 31,084 | 35.9 | [SEP] | - | Democratic | Bill Wild | 13,152 | 15.2 | [SEP] | - | Democratic | Ian Conyers | 9,740 | 11.2 | [SEP] | Total votes | Total votes | Total votes | 86,703 | 100.0 |",Political,0.9598,Culture,0.8364,Education,0.6724,"37.7%, 31,084, second, Democrat, Brenda Jones, 32,727, Tliab, Tlaib, 35.9%"
