Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities,Original Question
Society,0.2073,Education,0.2066,Healthcare and Medicine,0.1517,"Courier New, Times New Roman",Times New Roman and Courier New for MS Windows)\
Sports,0.9888,Culture,0.0865,Business and Economic,0.0481,,and the Montreal Canadiens won 24 championships.
Sports,0.9377,Culture,0.1602,Society,0.0908,"Argentina, 1–0, Peru",and the game that closed was a 1–0 Argentina win over hosts Peru in the quarterfinals.
Culture,0.5585,Society,0.3633,Art,0.2745,"first, 8681, second, 23xx",the first number was in the 23xx series and the second number in a series from 8681 to 8684.
Media and Entertainment,0.9878,Culture,0.0768,Society,0.0679,2008,and at the 2008 Mnet Music Awards.
Culture,0.697,Media and Entertainment,0.5467,Business and Economic,0.5016,BBC,Devey presented for BBC Two\
Healthcare and Medicine,0.8367,Culture,0.7596,Business and Economic,0.7588,,respectively.
Culture,0.6659,Society,0.4841,Science and Technology,0.443,23.40,with 23.40.
Healthcare and Medicine,0.8367,Culture,0.7596,Business and Economic,0.7588,,respectively.
Culture,0.8433,Society,0.7486,Media and Entertainment,0.7396,"21 April 2011, 29 November 2013",launched on 21 April 2011 and commissioned on 29 November 2013.
Political,0.5336,Culture,0.1335,Environmental,0.1212,Ralph Nader,Ralph Nader received 32\
Education,0.9001,Culture,0.4562,Business and Economic,0.3027,"the next school year, 735, 561, Samuel L. Banks",the Dr. Samuel L. Banks High School's enrollment was 735 and this decreased to 561 during the next school year.
Media and Entertainment,0.9766,Culture,0.7987,Business and Economic,0.2082,Ling Kai,Ling Kai was nominated as the best newcomer in the YES 933 Singapore Hit Awards 2014.
Culture,0.4957,Society,0.4027,Science and Technology,0.3733,27\,which holds 27\
Sports,0.9653,Culture,0.2603,Science and Technology,0.1058,"May, LaShauntea Moore's, 10.97 seconds, Baie Mahault, 200, later that month, 100",LaShauntea Moore's 200 m best was at Baie Mahault in May and later that month had a personal best of 10.97 seconds for 100 m at the in Maringá\
Art,0.7165,Warfare and Conflict,0.447,Culture,0.37,"Yakovlev Yak-7B, the 86th Guards Fighter Aviation Regiment",the 86th Guards Fighter Aviation Regiment was equipped with Yakovlev Yak-7B fighters.
Media and Entertainment,0.973,Culture,0.255,Business and Economic,0.0181,"the Showbusiness Awards, Sophie Ellis-Bextor, Herself",Sophie Ellis-Bextor won the Recording Artist Award at the Showbusiness Awards with her work Herself.
Culture,0.812,Society,0.6982,Business and Economic,0.6552,"114 percent, 2017",down from 114 percent in 2017.
Culture,0.6924,Society,0.6058,Science and Technology,0.5806,1997\,1997\
Sports,0.9227,Culture,0.5587,Society,0.2455,"Turkey, Baris Ucele, 89.19",Turkey's Baris Ucele finished as the leading goaltender with a save percentage of 89.19.
Science and Technology,0.4136,Healthcare and Medicine,0.3576,Business and Economic,0.3459,England\,England\
Media and Entertainment,0.9828,Art,0.446,Culture,0.4433,Stephanie Styles,Stephanie Styles portrayed Princess Ann in Roman Holiday\
Culture,0.8471,Sports,0.464,Art,0.4627,"Kenza Tazi's, two minutes and 17.15 seconds, 45th",Kenza Tazi's overall time of two minutes and 17.15 seconds placed her in 45th position.
Media and Entertainment,0.9746,Culture,0.5389,Art,0.323,"Nandalala, Tamil, Mahesh Muthuswami",Mahesh Muthuswami acted in the Tamil films Nandalala and Vamsam\
Culture,0.6393,Political,0.5723,Sports,0.4788,"227–6, England",and England declared 227–6.
Culture,0.7794,Media and Entertainment,0.7305,Society,0.657,11.62 million,selling 11.62 million copies.
Political,0.0223,Environmental,0.0166,Culture,0.0087,Antarctica,after Antarctica.
Healthcare and Medicine,0.2727,Political,0.2338,Culture,0.202,D.C.,D.C.
Media and Entertainment,0.9042,Art,0.2152,Culture,0.201,"Aline Wirley, Leandro Lehart, Amor Ferido",Aline Wirley performed with Leandro Lehart on Amor Ferido.
Culture,0.764,Society,0.715,Science and Technology,0.6569,495,ending with a total score of 495.
Sports,0.9895,Media and Entertainment,0.9164,Culture,0.6585,"the Dolphins Radio Broadcast, Bob Griese",Bob Griese joined the Dolphins Radio Broadcast team as a color commentator\
Sports,0.7758,Media and Entertainment,0.4428,Culture,0.3627,"one, Toppserien",but after one season in the Toppserien she moved to the Kristianstads DFF.
Culture,0.7286,Political,0.7236,Warfare and Conflict,0.3738,"Hašek, 258",while Hašek received 258.
Education,0.794,Culture,0.7393,Science and Technology,0.4191,"University of Greifswald, fourth",University of Greifswald is the fourth oldest university\
Culture,0.5463,Society,0.456,Science and Technology,0.3896,720,720 units\
Education,0.8558,Business and Economic,0.7672,Science and Technology,0.6686,"first, 40.42%, second, 48.38%\",the grade inflation proportion of upper second class awarded for first degree courses increased from 40.42% to 48.38%\
Science and Technology,0.6623,Culture,0.6056,Art,0.465,the Hubble Space Telescope,a value of 74.03±1.42 has been determined using the Hubble Space Telescope.
Sports,0.9391,Business and Economic,0.5277,Culture,0.4668,Botham,where Botham took 8-103.
Culture,0.7795,Sports,0.7458,Environmental,0.3806,"second, 169.484",Guthrie completed the lap with a best of 169.484 and qualified in second place.
Culture,0.5731,Science and Technology,0.4269,Art,0.4165,193\,with 193\
Culture,0.6286,Science and Technology,0.5209,Business and Economic,0.4781,,X4\
Culture,0.7851,Art,0.6307,Society,0.5968,"15.620 mi, 25.138 km",with a length of 25.138 km (15.620 mi).
Society,0.4866,Science and Technology,0.4698,Sports,0.4429,"80 miles per hour, 130 km",reaching a top speed of 80 miles per hour (130 km/h).
Culture,0.5549,Sports,0.508,Society,0.4053,170,170 runs.
Sports,0.9593,Culture,0.0549,Society,0.0511,"the 1898 Open Championship, Taylor",and Taylor do in the 1898 Open Championship?
Art,0.0572,Society,0.0273,Culture,0.0097,"307, Hendry, 8.6%, 88.6%",307 cases Hendry deemed 88.6% and 8.6% were unknowns (UFOs).
Political,0.9618,Society,0.6925,Culture,0.6867,1896,taking power in 1896 following the death of the previous incumbent\
Culture,0.6841,Society,0.6561,Sports,0.5036,"lb⋅ft, 159",however torque increased slightly to 215 N⋅m (159 lb⋅ft).
Sports,0.9937,Culture,0.2945,Society,0.1466,"Melbourne, 2018 AIHL season, the O'Brien Group Arena, Melbourne Mustangs",Melbourne Ice lost the game with Melbourne Mustangs with a score 3-5 for their 2018 AIHL season at the O'Brien Group Arena.
Culture,0.8516,Media and Entertainment,0.7708,Art,0.6737,"21 November 1990, 4AD/Nippon Columbia\, Japan",in Japan on 21 November 1990 on 4AD/Nippon Columbia\
Political,0.7542,Society,0.5803,Culture,0.5548,35.9%,and the voter turnout was 35.9%.
Media and Entertainment,0.9097,Culture,0.8565,Society,0.6304,"June 2007, 7-17",making the highest viewed episode since 7-17 in June 2007.
Political,0.7958,Business and Economic,0.7912,Culture,0.7093,Chicago,Chicago.
