Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities,Original Question
Sports,0.5964,Media and Entertainment,0.155,Culture,0.051,149 yards,how many rushes did charles sims finish for 149 yards?
Sports,0.967,Media and Entertainment,0.0362,Culture,0.0194,eleven,how many rushing yards did craig finish during his eleven nfl seasons?
Culture,0.0984,Political,0.0743,Healthcare and Medicine,0.0374,,women or men?
Culture,0.513,Society,0.2339,Political,0.1868,,black population
Culture,0.7372,Science and Technology,0.6414,Business and Economic,0.6346,29.2,29.2
Culture,0.3089,Business and Economic,0.1646,Society,0.132,,how many percent of other immigrant women were lone parents?
Culture,0.8778,Society,0.161,Education,0.117,"caribbean, latin america",caribbean and latin america
Culture,0.8778,Society,0.161,Education,0.117,"caribbean, latin america",caribbean and latin america
Culture,0.8778,Society,0.161,Education,0.117,"caribbean, latin america",caribbean and latin america
Business and Economic,0.8355,Culture,0.423,Science and Technology,0.3461,"africa, caribbean, latin america",which region of birth has a higher the employment rate? women born in the caribbean or in latin america tor women born in africa?
Culture,0.5935,Media and Entertainment,0.2475,Healthcare and Medicine,0.232,,women
Society,0.513,Healthcare and Medicine,0.0176,Political,0.0005,,health care and social assistance
Culture,0.6892,Business and Economic,0.5568,Science and Technology,0.5485,11.7,11.7
Healthcare and Medicine,0.6879,Society,0.6085,Culture,0.2246,,how many percent of black immigrant women worked in the health care and social assistance sector was higher than other immigrant women?
Culture,0.6075,Science and Technology,0.4268,Business and Economic,0.4255,1:12.8697,1:12.8697
Culture,0.5846,Business and Economic,0.4739,Science and Technology,0.4334,30.0,30.0
Culture,0.6696,Society,0.52,Business and Economic,0.4913,1696.0,1696.0
Environmental,0.673,Media and Entertainment,0.1809,Culture,0.0988,flora,flora
Culture,0.7088,Science and Technology,0.5959,Business and Economic,0.5393,24.9,24.9
Culture,0.7397,Science and Technology,0.6282,Business and Economic,0.6278,16.1,16.1
Education,0.4046,Business and Economic,0.3082,Society,0.2357,,how many times of the low-income rate was higher among black children compared with other children?
Culture,0.7068,Science and Technology,0.5937,Business and Economic,0.5667,53.1,53.1
Culture,0.6802,Business and Economic,0.5177,Science and Technology,0.5103,68562.0,68562.0
Culture,0.5882,Business and Economic,0.4598,Political,0.4374,,-463
Culture,0.6832,Business and Economic,0.5317,Science and Technology,0.527,185.0,185.0
Culture,0.2978,Warfare and Conflict,0.2733,Healthcare and Medicine,0.2491,2.1,2.1
Culture,0.7272,Society,0.5823,Science and Technology,0.5471,1998,1998
Culture,0.5971,Business and Economic,0.4575,Warfare and Conflict,0.4044,0.064348,0.064348
Society,0.0886,Political,0.0153,Art,0.004,2018,what is the provincial and territorial rate of police strength in 2018?
Culture,0.5953,Business and Economic,0.4224,Warfare and Conflict,0.422,38459,38459
Culture,0.5617,Science and Technology,0.3752,Warfare and Conflict,0.3514,0.191024,0.191024
Culture,0.6021,Business and Economic,0.4331,Science and Technology,0.4112,499.0,499.0
