label,count,parent,id
what,19948,,what
percent,162,what,what/percent
of,159,what/percent,what/percent/of
who,3280,,who
have,4,who,who/have
worked,2,who/have,who/have/worked
which,5819,,which
group,131,which,which/group
of,85,which/group,which/group/of
how,7146,,how
many,5790,how,how/many
percent,549,how/many,how/many/percent
is,7708,what,what/is
the,7028,what/is,what/is/the
region,49,which,which/region
of,11,which/region,which/region/of
type,104,which,which/type
of,89,which/type,which/type/of
sedentary,1,which,which/sedentary
time,1,which/sedentary,which/sedentary/time
lpa,1,which,which/lpa
has,1,which/lpa,which/lpa/has
million,172,how/many,how/many/million
did,573,,did
software,1,did,did/software
r,1,did/software,did/software/r
total,3,did,did/total
business,1,did/total,did/total/business
league,56,how/many,how/many/league
was,4472,what,what/was
the,4079,what/was,what/was/the
are,510,what,what/are
the,415,what/are,what/are/the
club,340,which,which/club
did,288,which/club,which/club/did
passing,61,how/many,how/many/passing
times,328,how/many,how/many/times
federal,16,did,did/federal
agencies,10,did/federal,did/federal/agencies
enterprise,4,which,which/enterprise
size,4,which/enterprise,which/enterprise/size
receiving,25,how/many,how/many/receiving
receving,1,how/many,how/many/receving
age,70,which,which/age
group,60,which/age,which/age/group
hectares,5,how/many,how/many/hectares
much,259,how,how/much
did,73,how/much,how/much/did
were,602,what,what/were
the,489,what/were,what/were/the
goals,191,how/many,how/many/goals
received,20,who,who/received
social,1,who/received,who/received/social
officers,2,how/many,how/many/officers
the,122,what,what/the
matches,13,what/the,what/the/matches
rushing,81,how/many,how/many/rushing
two,1,what/the,what/the/two
one,27,which,which/one
was,11,which/one,which/one/was
kind,58,which,which/kind
of,58,which/kind,which/kind/of
hours,16,how/many,how/many/hours
in,903,,in
which,344,in,in/which
year,72,in/which,in/which/year
had,172,who,who/had
contact,3,who/had,who/had/contact
did,1,who/had,who/had/did
is,659,,is
the,395,is,is/the
percentage,109,is/the,is/the/percentage
linkage,3,is/the,is/the/linkage
has,7,which/one,which/one/has
rusing,1,how/many,how/many/rusing
an,14,what/was,what/was/an
combined,1,what/was,what/was/combined
drug,2,how/many,how/many/drug
cma,10,which,which/cma
had,2,which/cma,which/cma/had
recorded,1,which,which/recorded
the,1,which/recorded,which/recorded/the
total,125,how/many,how/many/total
drug,1,did/total,did/total/drug
when,1216,,when
did,340,when,when/did
huntdown,1,when/did,when/did/huntdown
northern,1,did,did/northern
saskatchewan,1,did/northern,did/northern/saskatchewan
students,1,when,when/students
experienced,1,when/students,when/students/experienced
percent,38,what/the,what/the/percent
dollars,33,how/many,how/many/dollars
college,2,how/many,how/many/college
s,562,what,what/s
the,532,what/s,what/s/the
percentage,276,how/many,how/many/percentage
were,375,who,who/were
the,220,who/were,who/were/the
more,87,who/were,who/were/more
the,134,when/did,when/did/the
sex,40,which,which/sex
of,6,which/sex,which/sex/of
repaid,1,who/had,who/had/repaid
thousand,53,how/many,how/many/thousand
r,2,did,did/r
d,2,did/r,did/r/d
fttg,1,did,did/fttg
account,1,did/fttg,did/fttg/account
other,2,did,did/other
s,1,did/other,did/other/s
yards,55,how/many,how/many/yards
percentge,3,how/many,how/many/percentge
is,51,which,which/is
more,4,which/is,which/is/more
were,20,which,which/were
the,16,which/were,which/were/the
was,34,which,which/was
the,18,which/was,which/was/the
more,2,which/were,which/were/more
reported,5,which,which/reported
the,2,which/reported,which/reported/the
other,1698,,other
gender,40,which,which/gender
were,4,which/gender,which/gender/were
firearm,1,how/many,how/many/firearm
victims,4,how/many,how/many/victims
month,2,how/many,how/many/month
weekly,2,what/was,what/was/weekly
average,2,what/were,what/were/average
never,1,who,who/never
spoke,1,who/never,who/never/spoke
we,1,when,when/we
add,1,when/we,when/we/add
inuit,8,how/many,how/many/inuit
are,115,,are
a,3,are,are/a
positive,1,are/a,are/a/positive
did,172,who,who/did
report,1,who/did,who/did/report
a,30,who/had,who/had/a
watched,1,who,who/watched
television,1,who/watched,who/watched/television
the,73,who/had,who/had/the
spent,2,who,who/spent
more,1,who/spent,who/spent/more
touchdowns,46,how/many,how/many/touchdowns
was,346,when,when/was
the,212,when/was,when/was/the
sectors,5,which,which/sectors
witnessed,1,which/sectors,which/sectors/witnessed
hhs,1,did,did/hhs
account,1,did/hhs,did/hhs/account
nsf,1,did,did/nsf
account,1,did/nsf,did/nsf/account
dod,2,did,did/dod
account,1,did/dod,did/dod/account
agency,3,which,which/agency
reporting,1,which/agency,which/agency/reporting
year,130,which,which/year
has,33,which/year,which/year/has
the,1,how/much,how/much/the
percentage,230,what,what/percentage
of,187,what/percentage,what/percentage/of
the,85,did,did/the
10,1,did/the,did/the/10
canada,3,did,did/canada
s,2,did/canada,did/canada/s
made,9,who,who/made
less,1,who/made,who/made/less
lower,3,who/had,who/had/lower
meurtre,1,when/did,when/did/meurtre
province,75,which,which/province
reported,5,which/province,which/province/reported
sector,47,which,which/sector
had,5,which/sector,which/sector/had
high,4,is/the,is/the/high
album,45,which,which/album
did,9,which/album,which/album/did
had,12,which/group,which/group/had
graduated,1,who,who/graduated
in,1,who/graduated,who/graduated/in
league,143,which,which/league
did,101,which/league,which/league/did
he,42,did,did/he
make,8,did/he,did/he/make
score,6,did/he,did/he/score
homicides,8,how/many,how/many/homicides
females,4,how/many,how/many/females
an,1,what/is,what/is/an
average,9,is/the,is/the/average
did,16,what/percentage,what/percentage/did
initial,1,how/many,how/many/initial
aboriginal,2,did,did/aboriginal
adults,2,did/aboriginal,did/aboriginal/adults
milad,1,when/did,when/did/milad
had,15,which/region,which/region/had
touchdown,6,how/many,how/many/touchdown
jack,1,did,did/jack
eccles,1,did/jack,did/jack/eccles
has,19,which/province,which/province/has
provinces,3,which,which/provinces
has,1,which/provinces,which/provinces/has
changed,1,which/province,which/province/changed
less,19,who/were,who/were/less
had,1,which/album,which/album/had
jarrett,1,when/did,when/did/jarrett
seasons,75,how/many,how/many/seasons
respondents,7,how/many,how/many/respondents
immigrants,4,how/many,how/many/immigrants
significantly,2,who/were,who/were/significantly
garcia,1,did,did/garcia
join,1,did/garcia,did/garcia/join
interceptions,10,how/many,how/many/interceptions
is,22,how/much,how/much/is
source,4,which,which/source
country,2,which/source,which/source/country
canadians,11,how/many,how/many/canadians
country,144,which,which/country
had,25,which/country,which/country/had
receptions,44,how/many,how/many/receptions
milad,1,did,did/milad
jalali,1,did/milad,did/milad/jalali
number,10,is/the,is/the/number
millions,29,how/many,how/many/millions
peopl,1,how/many,how/many/peopl
games,161,how/many,how/many/games
tonnes,1,how/many,how/many/tonnes
appearances,106,how/many,how/many/appearances
qualifying,1,how/many,how/many/qualifying
individuals,13,how/many,how/many/individuals
total,16,is/the,is/the/total
cher,1,when/did,when/did/cher
ers,2,how/many,how/many/ers
coached,3,who,who/coached
the,2,who/coached,who/coached/the
was,5,which/province,which/province/was
has,17,which/region,which/region/has
pmol,1,how/many,how/many/pmol
what,524,in,in/what
size,1,in/what,in/what/size
is,6,what/percentage,what/percentage/is
used,1,which/country,which/country/used
mang,1,how,how/mang
games,1,how/mang,how/mang/games
students,12,how/many,how/many/students
of,2,which/club,which/club/of
experienced,2,who,who/experienced
online,1,who/experienced,who/experienced/online
in,8,which/club,which/club/in
is,3,which/gender,which/gender/is
under,4,are,are/under
45,1,are/under,are/under/45
and,4,which/province,which/province/and
change,3,what/percentage,what/percentage/change
married,1,did,did/married
couples,1,did/married,did/married/couples
families,1,did,did/families
living,1,did/families,did/families/living
rush,1,did/he,did/he/rush
franco,1,did,did/franco
ferrari,1,did/franco,did/franco/ferrari
citizenship,2,did,did/citizenship
rate,2,did/citizenship,did/citizenship/rate
cups,5,what,what/cups
did,3,what/cups,what/cups/did
cup,2,which,which/cup
