similarity_score,question
0.3729,"in 2016 season, how many rushes did charles sims finish for 149 yards?"
0.4935,"how many games did schwartz, the manager of rot-weiß erfurt between 11 april 2003 and 30 june 2003, won out of 10 matches?"
0.4256,"in total, how many rushing yards did craig finish during his eleven nfl seasons?"
0.3454,"which had a higher proportion of admittances under the family sponsorship program,women or men?"
0.5302,list african countries of origin that have more than half of the male immigrants admitted as a principal applicant under the economic program.
0.6841,which population has more women aged 25 to 59 who were lone parents? black immigrants or the rest of the canadian population?
0.6356,how many percent of black immigrant women aged 25 to 59 in 2016 were lone parents?
0.6551,"among black immigrant women aged 25 to 59 in 2016, how many percent of other immigrant women were lone parents?"
0.5866,which region of origion of the immigrants has the highest proportion of lone mothers among black immigrant women aged 25 to 59 in 2016?
0.6171,which region of birth has fewer proportion of black male immigrants with a postsecondary diploma or a university diploma? black male immigrants from africa or from caribbean and latin america?
0.6252,which region of birth has higher proportion of black female immigrants with a postsecondary diploma or a university diploma? black female immigrants from africa or from caribbean and latin america?
0.5796,"among black immigrant women, which region of birth has a higher the employment rate? women born in the caribbean or in latin america tor women born in africa?"
0.5031,which top 4 countries of birth had the lowest the lowest employment rates?
0.493,which region of ancestry has a higher uunemployment? women whose region of ancestry was africa or those in caribbean and latin america?
0.4823,which sector has the most black female workers?
0.4823,which sector has the most black female workers?
0.5175,"among immigrant women, how many percent of black immigrant women worked in the health care and social assistance sector was higher than other immigrant women?"
0.2021,what was the time of david reynolds in practice 1?
0.3433,how many league goals did lee hughes score for notts county in 2009.
0.3768,how many rushing yards did shaun alexander get in 2004?
0.3331,which club did piiroja play for in 2001?
0.5735,"in 2015, how many percent of black children and other children, respectively, are affected by low-income status (according to the market basket measure [mbm])?"
0.5728,how many percent of black children from second-generation families had low-income status (mbm) in 2015?
0.675,how many percentage points of the before-tax low-income rate for black children born to immigrant families are decreased from 2000 to 2015?
0.5525,"in 2015, how many times of the low-income rate was higher among black children compared with other children?"
0.5742,list countries that had the low-income rates (mbm) above 30% among black children aged 0 to 14 in immigrant families in 2015.
0.4926,how many percent of children from sudanese immigrant families is affected by low-income status (mbm)?
0.5418,how many police offcicers are in canada in 2018?
0.5587,how many police officers are decreased from 2017 to 2018 ?
0.5529,what is the rate of police strength in 2018?
0.5982,how many percent of the rate of police strength has declined from 2017 to 2018?
0.3181,"how many full-time individuals are employed on may 15, 2018, in addition to sworn officers?"
0.2813,how many full-time equivalent personnel in these roles are increased from 2017 to 2018?
0.3817,what is the growth rate of the number of full-time equivalent personnel in these roles from 2017 to 2018?
0.5724,"excluding officers involved in rcmp corporate duties, what is the provincial and territorial rate of police strength in 2018?"
0.4035,how many police officers were employed by stand-alone municipal police services?
0.5646,how many percent of all police officers in canada were employed by rcmp in contract policing?
0.4134,how many rushing yards did darren mcfadden get in 2008?
0.3706,how many receiving yards did jared abbrederis get in 2011?
0.4298,what was the won-lost record in regular season of cincinnati reds ?
0.313,when did patrick brown eject from simcoe north?
0.3641,how many matches did ignacio camacho play for malaga before joining wolfsburg?
0.5903,"in 2013/2014, on any given day, how many adult offenders are being supervised in either provincial/territorial or federal correctional services?"
0.5683,"in the 10 reporting provinces and territories for which both custody and community data were available, how many adult offenders are in either custody or a community program on a given day?"
0.5669,what is the incarceration rate of total correctional services?
0.5951,"what are the percentage change of incarceration rate from the previous year and from five years earlier, respectively?"
0.4542,how many adult offenders are in the federal correctional system?
0.506,what is the federal incarceration rate?
0.49,how many percent of the federal incarceration rate was decreased from pervious year?
0.5499,"compared to 2009/2010, how many percent of the federal incarceration rate was increased?"
0.6383,how many percent of adults under correctional supervision in the provinces and territories in 2013/2014 were in custody?
0.6652,how many percent of adults under correctional supervision in the provinces and territories in 2013/2014 were in the community?
0.4041,"in 2013/2014, how many adults are in custody on an average day?"
0.581,"in 2013/2014, how many adult offenders are in provincial/territorial custody?"
0.4608,"in 2013/2014, how many adult offenders are in federal custody?"
0.6048,what is the provincial/territorial incarceration rate for custody?
0.6569,how many percent of the provincial/territorial incarceration rate for custody is decreased from previous year?
0.5663,"how many percent of the federal incarceration rate for custody is increased from the previous year to 54 offenders per 100,000 adult population?"
0.6369,how many provinces and territories has reported a decreasing incarceration rate for custody only among 12 reporting provinces and territories?
0.5467,"which province has the highest rate of incarceration in custody at 242 per 100,000 adult population?"
0.5323,which province has the lowest incarceration rate in custody?
0.5766,"on any given day in 2013/2014, in the 10 provinces and territories for which community data were reported, how many adult offenders are being supervised through community programs?"
