num_pairs,table,qas
1,[Wikipedia page title:German Cargo; Wikipedia section title:Fleet; ] [TAB] | Aircraft | Introduced | Retired | [SEP] | Boeing 707 | 1977 | 1985 | [SEP] | Boeing 737-200 | 1990 | 1993 | [SEP] | Boeing 747-200 | 1990 | 1993 | [SEP] | Douglas DC-8 | 1984 | 1993 |,"What aircraft was introduced in 1990? From 1990, the Boeing 747 as well as the Boeing 737 was introduced."
2,[Wikipedia page title:Dan Deublein; Wikipedia section title:Television; ] [TAB] | Year | Title | Role | Notes | [SEP] | 2004 | The West Wing | Dr. McKinley | 1 Episode | [SEP] | 2001 | Arrest & Trial | Jon Sikes | 2 Episodes | [SEP] | 2000 | General Hospital | Captain Wilkes | 1 Episode | [SEP] | 2000 | Beverly Hills 90210 | Ben Swift | 3 Episodes | [SEP] | 1999 | Port Charles | Scott | 6 Episodes |,"In what shows has Deublein appeared? Deublein appeared in Beverly Hills 90210, General Hospital, Port Charles, JAG, Arrest & Trial and The West Wing. Which films did Dan Deublein play as Scott and Ben Swift? Dan Deublein played Ben Swift in Beverly Hills 90210, and Scott in Port Charles."
1,[Wikipedia page title:Denis Savard; Wikipedia section title:Career statistics; ] [TAB] | - | - | - | Regular season | Regular season | Regular season | Regular season | Regular season | Playoffs | Playoffs | Playoffs | Playoffs | Playoffs | - | - | [SEP] | Season | Team | League | - | GP | G | A | Pts | PIM | - | GP | G | A | Pts | PIM | [SEP] | 1977–78 | Montreal Juniors | QMJHL | - | 72 | 37 | 79 | 116 | 22 | - | 13 | 3 | 17 | 20 | 0 | [SEP] | 1978–79 | Montreal Juniors | QMJHL | - | 70 | 46 | 112 | 158 | 88 | - | 11 | 5 | 6 | 11 | 46 | [SEP] | 1979–80 | Montreal Juniors | QMJHL | - | 72 | 63 | 118 | 181 | 93 | - | 10 | 7 | 16 | 23 | 8 | [SEP] | 1980–81 | Chicago Blackhawks | NHL | - | 76 | 28 | 47 | 75 | 47 | - | 3 | 0 | 0 | 0 | 0 | [SEP] | 1981–82 | Chicago Blackhawks | NHL | - | 80 | 32 | 87 | 119 | 82 | - | 15 | 11 | 7 | 18 | 52 | [SEP] | 1982–83 | Chicago Blackhawks | NHL | - | 78 | 35 | 86 | 121 | 99 | - | 13 | 8 | 9 | 17 | 22 | [SEP] | 1983–84 | Chicago Blackhawks | NHL | - | 75 | 37 | 57 | 94 | 71 | - | 5 | 1 | 3 | 4 | 9 | [SEP] | 1984–85 | Chicago Blackhawks | NHL | - | 79 | 38 | 67 | 105 | 56 | - | 15 | 9 | 20 | 29 | 20 | [SEP] | 1985–86 | Chicago Blackhawks | NHL | - | 80 | 47 | 69 | 116 | 111 | - | 3 | 4 | 1 | 5 | 6 | [SEP] | 1986–87 | Chicago Blackhawks | NHL | - | 70 | 40 | 50 | 90 | 108 | - | 4 | 1 | 0 | 1 | 12 | [SEP] | 1987–88 | Chicago Blackhawks | NHL | - | 80 | 44 | 87 | 131 | 95 | - | 5 | 4 | 3 | 7 | 17 | [SEP] | 1988–89 | Chicago Blackhawks | NHL | - | 58 | 23 | 59 | 82 | 110 | - | 16 | 8 | 11 | 19 | 10 | [SEP] | 1989–90 | Chicago Blackhawks | NHL | - | 60 | 23 | 57 | 80 | 56 | - | 20 | 7 | 15 | 22 | 41 | [SEP] | 1990–91 | Montreal Canadiens | NHL | - | 70 | 28 | 31 | 59 | 52 | - | 13 | 2 | 11 | 13 | 35 | [SEP] | 1991–92 | Montreal Canadiens | NHL | - | 77 | 28 | 42 | 70 | 73 | - | 11 | 3 | 9 | 12 | 8 | [SEP] | 1992–93 | Montreal Canadiens | NHL | - | 63 | 16 | 34 | 50 | 90 | - | 14 | 0 | 5 | 5 | 4 | [SEP] | 1993–94 | Tampa Bay Lightning | NHL | - | 74 | 18 | 28 | 46 | 106 | - | — | — | — | — | — | [SEP] | 1994–95 | Tampa Bay Lightning | NHL | - | 31 | 6 | 11 | 17 | 10 | - | — | — | — | — | — | [SEP] | 1994–95 | Chicago Blackhawks | NHL | - | 12 | 4 | 4 | 8 | 8 | - | 16 | 7 | 11 | 18 | 10 | [SEP] | 1995–96 | Chicago Blackhawks | NHL | - | 69 | 13 | 35 | 48 | 102 | - | 10 | 1 | 2 | 3 | 8 | [SEP] | 1996–97 | Chicago Blackhawks | NHL | - | 64 | 9 | 18 | 27 | 60 | - | 6 | 0 | 2 | 2 | 2 | [SEP] | NHL totals | NHL totals | NHL totals | - | 1196 | 473 | 865 | 1338 | 1336 | - | 169 | 66 | 109 | 175 | 256 |,"What were Denis Savard's results in 1987-88 and 1985-86? Denis Savard's point total of 131 came in 1987–88, and goal total of 47 came in 1985–86."
1,[Wikipedia page title:Sandra Peabody; Wikipedia section title:Theatre; ] [TAB] | Year | Title | Role | Notes | [SEP] | 1970 | Tarot | The Sun | Off-Broadway | [SEP] | 1973-1974 | Annie Get Your Gun | Minnie | Shady Grove Music Fair |,"What roles did Sandra Peabody play in Tarot and Annie Get Your Gun, respectively? Peabody appeared as The Sun in an Off-Broadway production of Tarot (1970), which she followed with the role as Minnie in Annie Get Your Gun (1973-1974)."
1,[Wikipedia page title:1952 Open Championship; Wikipedia section title:Third round; ] [TAB] | Place | Player | Country | Score | To par | [SEP] | 1 | Fred Daly | Northern Ireland | 67-69-77=213 | –3 | [SEP] | 2 | Bobby Locke | South Africa | 69-71-74=214 | –2 | [SEP] | 3 | Peter Thomson | Australia | 68-73-77=218 | +2 | [SEP] | T4 | Harry Bradshaw | Ireland | 70-74-75=219 | +3 | [SEP] | T4 | Sam King | England | 71-74-74=219 | +3 | [SEP] | T6 | Fred Bullock | England | 76-72-72=220 | +4 | [SEP] | T6 | Willie Goggin | United States | 71-74-75=220 | +4 | [SEP] | T6 | Syd Scott | England | 75-69-76=220 | +4 | [SEP] | T6 | Flory Van Donck | Belgium | 74-75-71=220 | +4 | [SEP] | T10 | Eric Brown | Scotland | 71-72-78=221 | +5 | [SEP] | T10 | Jackie Jones (a) | England | 73-70-78=221 | +5 | [SEP] | T10 | Alan Poulton | England | 71-74-76=221 | +5 | [SEP] | T10 | Norman Von Nida | Australia | 77-70-74=221 | +5 |,"What were Locke and Thomson's results of the 1952 Open Championship? In the 1952 Open Championship, Locke had closed to one shot after a 74 and Thomson was four behind Locke at 218 (+2)."
1,"[Wikipedia page title:Sergey Gavryushin; Wikipedia section title:International competitions; ] [TAB] | Year | Competition | Venue | Position | Notes | [SEP] | 1982 | European Championships | Athens, Greece | 8th | 20.15 m | [SEP] | 1986 | Goodwill Games | Moscow, Soviet Union | 2nd | 21.09 m | [SEP] | 1987 | World Championships | Rome, Italy | 8th | 20.15 m |","How did Sergey Gavryushin perform at the 1982 European Championships and the 1987 World Championships? Sergey Gavryushin had identical results at the 1982 European Championships and 1987 World Championships, coming eighth with 20.15 m."
1,[Wikipedia page title:Alfred Strange; Wikipedia section title:Statistics; ] [TAB] | Club | Season | Division | League | League | FA Cup | FA Cup | Other | Other | Total | Total | [SEP] | Club | Season | Division | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals | [SEP] | Portsmouth | 1922–23 | Third Division South | 13 | 9 | 1 | 0 | 0 | 0 | 14 | 9 | [SEP] | Portsmouth | 1923–24 | Third Division South | 11 | 7 | 0 | 0 | 0 | 0 | 11 | 7 | [SEP] | Portsmouth | Total | Total | 24 | 16 | 1 | 0 | 0 | 0 | 25 | 16 | [SEP] | Port Vale | 1924–25 | Second Division | 30 | 4 | 3 | 3 | 0 | 0 | 33 | 7 | [SEP] | Port Vale | 1925–26 | Second Division | 41 | 17 | 1 | 0 | 0 | 0 | 42 | 17 | [SEP] | Port Vale | 1926–27 | Second Division | 24 | 4 | 4 | 1 | 0 | 0 | 28 | 5 | [SEP] | Port Vale | Total | Total | 95 | 25 | 8 | 4 | 0 | 0 | 103 | 29 | [SEP] | Sheffield Wednesday | 1926–27 | First Division | 13 | 5 | 0 | 0 | 0 | 0 | 13 | 5 | [SEP] | Sheffield Wednesday | 1927–28 | First Division | 15 | 0 | 2 | 0 | 0 | 0 | 17 | 0 | [SEP] | Sheffield Wednesday | 1928–29 | First Division | 42 | 5 | 2 | 0 | 0 | 0 | 44 | 5 | [SEP] | Sheffield Wednesday | 1929–30 | First Division | 41 | 3 | 6 | 0 | 0 | 0 | 47 | 3 | [SEP] | Sheffield Wednesday | 1930–31 | First Division | 40 | 0 | 2 | 0 | 1 | 0 | 53 | 0 | [SEP] | Sheffield Wednesday | 1931–32 | First Division | 40 | 3 | 5 | 0 | 0 | 0 | 45 | 3 | [SEP] | Sheffield Wednesday | 1932–33 | First Division | 41 | 5 | 2 | 0 | 0 | 0 | 43 | 5 | [SEP] | Sheffield Wednesday | 1933–34 | First Division | 20 | 1 | 0 | 0 | 0 | 0 | 20 | 1 | [SEP] | Sheffield Wednesday | 1934–35 | First Division | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | [SEP] | Sheffield Wednesday | Total | Total | 253 | 22 | 19 | 0 | 1 | 0 | 273 | 22 | [SEP] | Bradford Park Avenue | 1935–36 | Second Division | 10 | 0 | 0 | 0 | 0 | 0 | 10 | 0 | [SEP] | Career Total | Career Total | Career Total | 382 | 63 | 28 | 4 | 1 | 0 | 411 | 67 |,Where did Alfred Strange begin his career and first play in Third Division South? Alfred Strange began his career at Portsmouth and played in the Third Division South in 1923–24.
1,"[Wikipedia page title:Carolyn Farina; Wikipedia section title:Filmography; ] [TAB] | Year | Title | Role | Notes | [SEP] | 1990 | Metropolitan | Audrey Rouget | - | [SEP] | 1992 | Little Noises | Cousin Linny | (credited as ""Caroline Farina"") | [SEP] | 1993 | The Age of Innocence | Janey Archer | - | [SEP] | 1998 | The Last Days of Disco | Audrey Rouget | - | [SEP] | 2011 | Whit Stillman's Damsels in Distress | Carolina Antonucci | - | [SEP] | TBA | South of Hope Street | Mira | (filming) |","In what films did Farina play Audrey Rouget? Farina appeared as Audrey Rouget in the films, The Last Days of Disco (1998) and Metropolitan (1990)."
1,[Wikipedia page title:Rakshita; Wikipedia section title:As actress; ] [TAB] | Year | Title | Language | Role | Notes | [SEP] | 2002 | Appu | Kannada | Suchitra | - | [SEP] | 2002 | Idiot | Telugu | Suchitra | - | [SEP] | 2002 | Dhumm | Kannada | Preethi | - | [SEP] | 2003 | Dum | Tamil | Suchitra | - | [SEP] | 2003 | Pellam Oorelithe | Telugu | Raji | - | [SEP] | 2003 | Nijam | Telugu | Janaki | - | [SEP] | 2003 | Shivamani | Telugu | Pallavi | - | [SEP] | 2003 | Gokarna | Kannada | - | - | [SEP] | 2004 | Love | Kannada | Ganga | - | [SEP] | 2004 | Lakshmi Narasimha | Telugu | Dancer | Special Appearance | [SEP] | 2004 | Andhrawala | Telugu | Rakshita | - | [SEP] | 2004 | Madhurey | Tamil | Anitha | - | [SEP] | 2005 | Kalasipalya | Kannada | Priya | - | [SEP] | 2005 | Kashi From Village | Kannada | - | - | [SEP] | 2005 | Ayya | Kannada | - | - | [SEP] | 2005 | Deadly Soma | Kannada | Jyothi | - | [SEP] | 2005 | Andarivaadu | Telugu | Cheetila Chinni / Janki | - | [SEP] | 2005 | Jagapathi | Telugu | Lavanya | - | [SEP] | 2005 | Adirindayya Chandram | Telugu | - | - | [SEP] | 2006 | Suntaragaali | Kannada | Manju | - | [SEP] | 2006 | Neenello Naanalle | Kannada | - | - | [SEP] | 2006 | Mandya | Kannada | Paaru | - | [SEP] | 2006 | Odahuttidavalu | Kannada | - | - | [SEP] | 2006 | Hubli | Kannada | Priya | - | [SEP] | 2006 | Tananam Tananam | Kannada | Vanaja | - | [SEP] | 2007 | Ee Rajiv Gandhi Alla | Kannada | - | - | [SEP] | 2007 | Thayiya Madilu | Kannada | - | - |,"Since making her acting debut in the 2002 Kannada-language film Appu, how does Rakshita communicate on film? Rakshita made her acting debut in the 2002 Kannada-language film Appu, following which, she acted in many Kannada and Telugu films."
1,"[Wikipedia page title:Yulimar Rojas; Wikipedia section title:International competitions; ] [TAB] | Year | Competition | Venue | Position | Event | Notes | [SEP] | 2011 | South American Junior Championships | Medellín, Colombia | 1st | High jump | 1.78 m | [SEP] | 2012 | Ibero-American Championships | Barquisimeto, Venezuela | 6th | High jump | 1.75 m | [SEP] | 2012 | South American U23 Championships | São Paulo, Brazil | 3rd | High jump | 1.73 m | [SEP] | 2012 | South American Youth Championships | Mendoza, Argentina | 4th | High jump | 1.68 m | [SEP] | 2013 | Pan American Junior Championships | Lima, Peru | 2nd | High jump | 1.76 m | [SEP] | 2013 | Bolivarian Games | Trujillo, Peru | 2nd | High jump | 1.76 m | [SEP] | 2013 | Bolivarian Games | Trujillo, Peru | 6th | Long jump | 5.87 m | [SEP] | 2014 | South American Games | Santiago, Chile | 1st | High jump | 1.79 m | [SEP] | 2014 | World Junior Championships | Eugene, United States | 11th | Long jump | 5.81 m | [SEP] | 2014 | World Junior Championships | Eugene, United States | 17th | Triple jump | 12.99 m | [SEP] | 2014 | Pan American Sports Festival | Mexico City, Mexico | 1st | Long jump | 6.53 m w | [SEP] | 2014 | South American U23 Championships | Montevideo, Uruguay | 1st | Long jump | 6.36 m CR | [SEP] | 2014 | South American U23 Championships | Montevideo, Uruguay | 1st | Triple jump | 13.35 m | [SEP] | 2014 | Central American and Caribbean Games | Veracruz, Mexico | 4th | Long jump | 6.24 m | [SEP] | 2014 | Central American and Caribbean Games | Veracruz, Mexico | 4th | Triple jump | 13.54 m | [SEP] | 2015 | South American Championships | Lima, Peru | 4th | Long jump | 6.20 m w (+2.4 m/s) | [SEP] | 2015 | South American Championships | Lima, Peru | 1st | Triple jump | 14.14 m w (+2.8 m/s) | [SEP] | 2016 | World Indoor Championships | Portland, United States | 1st | Triple jump | 14.41 m | [SEP] | 2016 | Olympic Games | Rio de Janeiro, Brazil | 2nd | Triple jump | 14.98 m | [SEP] | 2017 | South American Championships | Asunción, Paraguay | 2nd | Triple jump | 14.36 m | [SEP] | 2017 | World Championships | London, United Kingdom | 1st | Triple jump | 14.91 m | [SEP] | 2018 | World Indoor Championships | Birmingham, United Kingdom | 1st | Triple jump | 14.63 m |","How did Yulimar Rojas perform at the 2014 World Junior Championships? At the 2014 World Junior Championships, Yulimar Rojas came eleventh in the long jump and 17th overall in the triple jump."
