similarity_score,num_pairs,qas,table
0.8584068417549133,5,what was the total number of youth admissions to correctional services among the 11 reporting jurisdictions 145780 what was the percentage of total number of youth admissions to correctional services among the 11 reporting jurisdictions changed compared to 20172018 150 what were the percentages of total number of youth admissions to community supervision and custody changed compared to 20172018 respectively 120 200 among manitoba nova scotia prince edward island and newfoundland and labrador what were their percentages of total number of youth admissions to correctional services changed compared to 20172018 250 240 190 160 among the territorieswhich had the largest decrease in total admissions to correctional services compared to 20172018 yukon,"admissions of youth to correctional services, by type of supervision and jurisdiction, 2018/2019. jurisdiction total custody total custody total community supervision total community supervision total correctional services total correctional services jurisdiction number percent change from 2017/2018 number percent change from 2017/2018 number percent change from 2017/2018 newfoundland and labrador 77 18 140 -27 217 -16 prince edward island 4 -83 105 -5 109 -19 nova scotia 226 -25 177 -22 403 -24 new brunswick 195 -8 264 1 459 -3 ontario 2,240 -18 2,556 -9 4,796 -13 manitoba 1,556 -24 1,138 -26 2,694 -25 saskatchewan 1,236 -13 1,888 -12 3,124 -12 british columbia 547 -30 2,092 -5 2,639 -11 yukon 19 -42 2 -75 21 -49 northwest territories 36 -37 49 4 85 -18 nunavut 6 -54 25 -4 31 -21 total-all jurisdictions 6,142 -20 8,436 -12 14,578 -15"
0.8542805910110474,4,among households who had internet access at homewhat was the percentage of those who had less than one internetenabled device per household member 584 among households in the lowest income quartilewhat was the percentage of those who had less than one internetenabled device for each household member 630 among households in the highest income quartilewhat was the percentage of those who had less than one device per household member 562 who were less likely to have less than one device per household memberhouseholds in the third quartile or those in the lowest quartile third quartile,"number of internet-enabled devices used per household member by household income quartile, households with home internet access, 2018. lowest quartile second quartile third quartile highest quartile total percent percent percent percent percent less than one device per household member 63.0 60.7 56.9 56.2 58.4 at least one device per household member 37.0 39.3 43.1 43.9 41.6"
0.8538773655891418,3,inuktut is transmitted as a mother tongue what was the percent of children aged 0 to 17 years living in a twoparent household where both parents have an inuktutmothertongue 874 what was the percent of children of linguistically exogamous couples 288 what was the percent of children of couples where neither parent has inuktut as a mother tongue 14,"mother tongue of children aged 0 to 17 years living in a two-parent household, by parents' mother tongue, nunavut, 2016. child's mother tongue child's mother tongue inuktut not inuktut percent percent both parents have an inuktut-mother-tongue 87.4 12.6 linguistically exogamous couple 28.8 71.3 neither parent has an inuktut-mother-tongue 1.4 98.6"
0.850085437297821,2,what was the percentage of spousal violence victims reported to police dropped over this tenyear period in ontario 11 which had a lower rate of theft of personal property in 2009 quebec or canada quebec,"victimization reported to police, by region, 1999 and 2009. non-spousal violence non-spousal violence spousal violence spousal violence household victimization household victimization theft of personal property theft of personal property 1999 2009 1999 2009 1999 2009 1999 2009 percent reported to police percent reported to police percent reported to police percent reported to police percent reported to police percent reported to police percent reported to police percent reported to police canada 31 29 28 22 44 36 35 28 atlantic provinces 35 35 27 28 42 35 23 25 quebec 36 28 20 20 46 41 30 22 ontario 30 27 31 20 43 33 34 29 prairies 33 34 29 26 44 36 41 29 british columbia 22 25 29 21 46 37 39 35"
0.8492003083229065,10,in 20172018 what is the number of youth admissions to correctional services among the nine reporting jurisdictions 166640 what was the declines in the number of youth admissions to correctional services among the nine reporting jurisdictions compared to 20162017 12 what was the declines in admissions to community supervision among the nine reporting jurisdictions from 20162017 9 what was the declines in admissions to custody among the nine reporting jurisdictions from 20162017 16 what was the declines in the number of admissions to correctional services in manitoba compared to 20162017 17 what was the declines in the number of admissions to correctional services in prince edward island compared to 20162017 14 what was the declines in the number of admissions to correctional services in prince edward island compared to 20162017 25 what was the declines in the number of admissions to correctional services in ontario compared to 20162017 14 what was the declines in total admissions in nunavut from 20162017 51 what was the change in total admissions in northwest territories from 20162017 320,"admissions of youth to correctional services, by type of supervision and jurisdiction, 2017/2018. jurisdiction total custody total custody total community supervision total community supervision total correctional services total correctional services jurisdiction number percent change from 2016/2017 number percent change from 2016/2017 number percent change from 2016/2017 newfoundland and labrador 65 -20 192 22 257 8 prince edward island 24 -35 110 -22 134 -25 new brunswick 212 8 261 -8 473 -2 ontario 2,741 -17 2,797 -11 5,538 -14 manitoba 2,058 -19 1,542 -14 3,600 -17 saskatchewan 1,413 -18 2,136 -11 3,549 -14 british columbia 778 -11 2,192 1 2,970 -3 northwest territories 57 50 47 15 104 32 nunavut 13 -67 26 -35 39 -51 total-all jurisdictions 7,361 -16 9,303 -9 16,664 -12"
0.848190426826477,1,what was the mean absolute percentage point revision to the quarterly growth rate in real gdp from 2013 to 2015 002,"revisions to the growth in real gdp, quarterly. revised average growth in quarterly real gdp previously published average growth in quarterly real gdp mean absolute revision to the growth in quarterly real gdp percent percent percentage points 2013 0.88 0.78 0.10 2014 0.54 0.60 0.06 2015 0.09 0.08 0.01 2013 to 2015 0.50 0.48 0.02"
0.8442580699920654,1,how many the mean absolute percentage point was revision to the annual growth rate of real gdp for the 2015 to 2017 period 023,"revisions to the growth of real gross domestic product, annual. revised average growth in annual real gdp previously published average growth in annual real gdp mean absolute revision to the growth in annual real gdp percent percent percentage points 2015 to 2017 1.59 1.82 0.23 2015 0.67 1.00 0.33 2016 1.10 1.41 0.31 2017 2.99 3.05 0.06"
0.8426402807235718,5,list all the second generation groups that have highskill occupations proportion larger than 40 in ovserved share chinese korean japanese south asian what was the percent of men among thirdplus generation whites that worked in highskill occupations according to ovserved share 199 what was the percent of women among thirdplus generation whites that worked in highskill occupations according to ovserved share 31 which second generations are more likely to work in highskill occupations than thirdplus generation filipino southeast asian west asianarab white which second generations are similar or smaller than thirdplus generation whites black latin american,percentage of workers aged 25 to 44 in high-skill occupations among second generation groups. observed share working in high-skill occupations observed share working in high-skill occupations adjusted share working in high-skill occupations adjusted share working in high-skill occupations men women men women percent percent percent percent second generation groups south asian 39.0 47.8 24.4 34.3 black 19.1 29.8 19.5 30.7 chinese 46.2 50.8 26.4 32.6 filipino 27.0 37.2 23.1 33.1 southeast asian 29.4 34.9 24.2 32.3 west asian/arab 33.9 38.5 24.6 31.4 latin american 15.9 22.9 20.7 31.2 korean 41.2 49.1 20.2 30.8 japanese 38.1 42.7 25.6 31.4 white 26.6 36.2 22.0 32.0 all second generation 28.6 37.6 22.4 32.1 third-plus generation whites 19.9 31.0 21.7 32.6
0.8384326696395874,7,among minority women aged 15 or older who were less likely to have disability visible minority women or women who did not belong to a visible minority group visible minority among minority men aged 15 or older who were less likely to have disability visible minority men or men who did not belong to a visible minority group visible minority among minority women aged 15 to 24 who were less likely to have disability visible minority women or women who did not belong to a visible minority group visible minority among minority women aged 25 to 54 who were less likely to have disability visible minority women or women who did not belong to a visible minority group visible minority among minority women aged 65 or older who were more likely to have disability visible minority women or women who did not belong to a visible minority group visible minority among those aged 25 to 54 what was the percentag of visible minority women reported disabilities 68 among those aged 25 to 54 what was the percentag of visible minority women reported disabilities 103,"prevalence of disability among women and men aged 15 or older, by visible minority status and age group, canada, 2011. age group women women men men age group not a visible minority visible minority not a visible minority visible minority age group percent percent percent percent 15 or older 15.7 11.3 13.4 8.6 15 to 24 4.6 3.2 4.5 4.3 25 to 54 10.3 6.8 8.9 5.6 55 to 64 20.8 23.5 19.3 17.9 65 or older 34.4 41.9 30.8 30.4"
0.8379255533218384,3,which agricultural region had more farm operators who were not not living on the farm who declared working less than 20 hours per week on average on the farm or working more than 40 hours per week on average in a paid nonagricultural job compared with all farm operators in new brunswick agricultural region 4 which agricultural region had a higher proportion of farm operators declaring having worked 40 hours or more per week on the farmcompared with all farm operators across new brunswick agricultural region 1 which agricultural region had more farm operators who were more likely than all farm operators in new brunswick to live on farm agricultural region 3,"number of farm operators who lived on the farm, having declared agricultural operation, by paid non-agricultural work in the calendar year prior to the census, three agricultural regions of new brunswick, 2011. agricultural region 1 agricultural region 1 agricultural region 3 agricultural region 3 agricultural region 4 agricultural region 4 total new brunswick total new brunswick number percent number percent number percent number percent operators living on or off the farm off the farm 275 22.9 130 16.4 180 35.3 740 21.3 on the farm 925 77.1 670 84.3 330 64.7 2,725 78.5 farm work, by average number of hours per week less than 20 hours 370 30.8 295 37.1 225 44.1 1,240 35.7 between 20 and 29 hours 155 12.9 100 12.6 60 11.8 475 13.7 between 30 and 40 hours 165 13.8 120 15.1 60 11.8 470 13.5 40 hours and more 510 42.5 275 34.6 165 32.4 1,295 37.3 non-farm paid work, by average number of hours per week operators reporting no paid non-farm work 715 59.6 410 51.6 270 52.9 1,925 55.5 operators reporting less than 20 hours 80 6.7 60 7.5 35 6.9 245 7.1 operators reporting between 20 and 29 hours 55 4.6 45 5.7 25 4.9 165 4.8 operators reporting between 30 and 40 hours 145 12.1 130 16.4 65 12.7 485 14.0 operators reporting more than 40 hours 205 17.1 165 20.8 125 24.5 655 18.9"
